symbol,signal_close_ref,entry_date,entry_price,quantity,initial_stop,exit_date,exit_price,exit_reason,gross_pnl,net_pnl,buy_cost,sell_cost,holding_days,r_multiple,score,label
000538,51.143,2020-06-17,51.1441,300,48.093,2020-07-16,63.8699,hard_stop,3817.73,3797.81,5.15,14.77,18,4.1491,77.1830985915493,A_U0
601288,1.944,2021-03-04,1.9359,11200,1.824,2021-03-22,2.002,time_stop,739.89,718.24,5.22,16.44,11,0.5729,70.8900900900901,A_U0
601390,4.458,2021-08-19,4.4324,5400,4.2028,2021-09-14,5.3187,hard_stop,4785.74,4760.11,5.24,20.39,17,3.8393,82.43243243243244,A_U0
601211,12.85,2022-08-18,12.7828,1800,12.06,2022-08-31,12.8172,time_stop,61.92,39.92,5.23,16.77,8,0.0307,85.4,A_U0
600028,2.984,2022-08-23,2.987,9100,2.884,2022-09-16,3.1828,hard_stop,1782.05,1755.78,5.71,20.56,16,1.8735,75.53333333333333,A_U0
601766,4.73,2023-02-14,4.7347,5000,4.47,2023-02-27,4.8451,time_stop,552.1,529.51,5.24,17.36,8,0.4,73.93333333333334,A_U0
601601,24.43,2023-03-02,24.2042,900,22.84,2023-03-08,22.8172,hard_stop,-1248.32,-1269.01,5.22,15.47,3,-1.0336,78.66666666666667,A_U0
601328,3.848,2023-04-14,3.8619,5900,3.638,2023-05-10,4.6064,hard_stop,4392.73,4368.21,5.23,19.3,14,3.3073,76.0,A_U0
000001,10.892,2025-03-13,10.8629,2600,10.482,2025-03-21,10.4715,hard_stop,-1017.47,-1042.73,5.93,19.33,5,-1.053,79.2,A_U0
002352,41.249,2025-03-13,41.05,500,38.729,2025-03-26,40.4086,time_stop,-320.73,-341.24,5.21,15.3,8,-0.294,81.53333333333333,A_U0
002008,24.46,2025-07-09,24.4744,900,23.1,2025-07-22,24.8751,time_stop,360.59,338.95,5.22,16.42,8,0.274,66.46666666666667,A_U0
000063,33.032,2025-07-14,33.075,800,31.442,2025-07-25,34.1978,time_stop,898.18,873.2,5.56,19.42,8,0.6684,52.66666666666666,A_U0
000063,34.682,2025-07-30,34.5866,700,32.692,2025-08-12,33.5584,time_stop,-719.7,-741.92,5.24,16.98,8,-0.5594,66.6,A_U0
002415,27.63,2025-08-06,27.6276,1000,26.3,2025-08-19,28.2917,time_stop,664.08,638.19,5.8,20.09,8,0.4807,78.44594594594595,A_U0
000063,35.092,2025-08-14,35.047,700,33.152,2025-08-28,43.3086,hard_stop,5783.15,5756.38,5.25,21.52,9,4.3395,72.09459459459458,A_U0
601088,37.94,2025-10-14,37.9279,700,35.99,2025-11-12,41.6883,max_holding,2632.27,2605.97,5.58,20.72,20,1.9211,73.99999999999999,A_U0
000895,24.94,2025-11-03,24.9749,1200,24.2257,2025-11-25,26.1099,hard_stop,1361.9,1333.36,6.29,22.25,15,1.483,71.46666666666667,A_U0
002142,28.36,2026-01-14,28.3884,900,26.82,2026-01-27,29.2907,time_stop,812.09,788.01,5.37,18.72,8,0.5583,74.13333333333334,A_U0
000333,78.088,2026-05-15,77.8057,400,75.288,2026-05-25,75.2127,hard_stop,-1037.21,-1065.1,6.54,21.36,5,-1.0576,79.60000000000001,A_U0
000725,4.254,2026-05-20,4.2382,7000,4.024,2026-05-29,5.3456,hard_stop,7751.91,7719.11,6.23,26.57,6,5.1473,82.66666666666666,A_U0
