symbol,signal_close_ref,entry_date,entry_price,quantity,initial_stop,exit_date,exit_price,exit_reason,gross_pnl,net_pnl,buy_cost,sell_cost,holding_days,r_multiple,score,label
000538,51.143,2020-06-17,51.1441,300,48.093,2020-07-16,63.8699,hard_stop,3817.73,3797.81,5.15,14.77,18,4.1491,77.1830985915493,B_DECISION_GATES
601288,1.944,2021-03-04,1.9359,8900,1.824,2021-03-22,2.002,time_stop,587.95,568.69,5.17,14.09,11,0.5709,70.8900900900901,B_DECISION_GATES
601390,4.458,2021-08-19,4.4324,4300,4.2028,2021-09-14,5.3187,hard_stop,3810.87,3789.01,5.19,16.66,17,3.8378,82.43243243243244,B_DECISION_GATES
601211,12.85,2022-08-18,12.7828,1400,12.06,2022-08-31,12.8172,time_stop,48.16,28.83,5.18,14.15,8,0.0285,85.4,B_DECISION_GATES
600028,2.984,2022-08-23,2.987,7200,2.884,2022-09-16,3.1828,hard_stop,1409.98,1388.07,5.22,16.69,16,1.872,75.53333333333333,B_DECISION_GATES
601766,4.73,2023-02-14,4.7347,3900,4.47,2023-02-27,4.8451,time_stop,430.64,410.82,5.18,14.64,8,0.3979,73.93333333333334,B_DECISION_GATES
601601,24.43,2023-03-02,24.2042,700,22.84,2023-03-08,22.8172,hard_stop,-970.91,-989.23,5.17,13.15,3,-1.0359,78.66666666666667,B_DECISION_GATES
601328,3.848,2023-04-14,3.8619,4700,3.638,2023-05-10,4.6064,hard_stop,3499.3,3478.07,5.18,16.04,14,3.3057,76.0,B_DECISION_GATES
000001,10.892,2025-03-13,10.8629,2000,10.482,2025-03-21,10.4715,hard_stop,-782.67,-803.57,5.22,15.68,5,-1.055,79.2,B_DECISION_GATES
002352,41.249,2025-03-13,41.05,400,38.729,2025-03-26,40.4086,time_stop,-256.58,-274.99,5.16,13.24,8,-0.2962,81.53333333333333,B_DECISION_GATES
002008,24.46,2025-07-09,24.4744,700,23.1,2025-07-22,24.8751,time_stop,280.46,261.4,5.17,13.88,8,0.2717,66.46666666666667,B_DECISION_GATES
000063,33.032,2025-07-14,33.075,600,31.442,2025-07-25,34.1978,time_stop,673.64,652.97,5.2,15.46,8,0.6664,52.66666666666666,B_DECISION_GATES
000063,34.682,2025-07-30,34.5866,500,32.692,2025-08-12,33.5584,time_stop,-514.07,-532.8,5.17,13.56,8,-0.5625,66.6,B_DECISION_GATES
002415,27.63,2025-08-06,27.6276,800,26.3,2025-08-19,28.2917,time_stop,531.26,509.5,5.22,16.54,8,0.4797,78.44594594594595,B_DECISION_GATES
000063,35.092,2025-08-14,35.047,500,33.152,2025-08-28,43.3086,hard_stop,4130.82,4109.6,5.18,16.04,9,4.3373,72.09459459459458,B_DECISION_GATES
601088,37.94,2025-10-14,37.9279,500,35.99,2025-11-12,41.6883,max_holding,1880.19,1859.37,5.19,15.63,20,1.919,73.99999999999999,B_DECISION_GATES
000895,24.94,2025-11-03,24.9749,900,24.2257,2025-11-25,26.1099,hard_stop,1021.42,999.21,5.22,16.98,15,1.4818,71.46666666666667,B_DECISION_GATES
002142,28.36,2026-01-14,28.3884,700,26.82,2026-01-27,29.2907,time_stop,631.62,610.97,5.2,15.46,8,0.5565,74.13333333333334,B_DECISION_GATES
000333,78.088,2026-05-15,77.8057,300,75.288,2026-05-25,75.2127,hard_stop,-777.9,-799.65,5.23,16.51,5,-1.0587,79.60000000000001,B_DECISION_GATES
000725,4.254,2026-05-20,4.2382,5300,4.024,2026-05-29,5.3456,hard_stop,5869.3,5843.96,5.22,20.12,6,5.1469,82.66666666666666,B_DECISION_GATES
