日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2022-12-14,09:26:00,601825.SH,沪农商行,卖出,5.924,-1500,-8886.10,5.00,8.89
2022-12-01,09:47:00,601825.SH,沪农商行,买入,5.916,1500,8873.86,5.00,0.00
2022-01-14,09:26:00,000156.SZ,华数传媒,卖出,8.392,-1100,-9230.76,5.00,9.23
2022-01-07,13:30:00,002642.SZ,荣联科技,卖出,5.714,-1700,-9714.28,5.00,9.71
2022-01-05,09:36:00,600535.SH,天士力,卖出,15.654,-600,-9392.60,5.00,9.39
2021-12-31,10:02:00,000156.SZ,华数传媒,买入,8.388,1100,9227.22,5.00,0.00
2021-12-27,09:31:00,002469.SZ,三维化学,卖出,6.663,-1400,-9328.66,5.00,9.33
2021-12-23,09:54:00,600535.SH,天士力,买入,14.474,600,8684.68,5.00,0.00
2021-12-17,09:51:00,002469.SZ,三维化学,买入,6.617,1400,9263.25,5.00,0.00
2021-12-15,09:45:00,002642.SZ,荣联科技,买入,5.255,1700,8933.93,5.00,0.00
2021-09-14,09:35:00,601985.SH,中国核电,卖出,7.003,-1700,-11905.08,5.00,11.91
2021-09-03,09:26:00,002204.SZ,大连重工,卖出,4.196,-1800,-7552.44,5.00,7.55
2021-08-23,09:49:00,601985.SH,中国核电,买入,5.155,1700,8763.76,5.00,0.00
2021-08-23,09:45:00,002204.SZ,大连重工,买入,4.164,1800,7495.49,5.00,0.00
2021-06-08,11:01:00,600727.SH,鲁北化工,卖出,8.342,-1000,-8341.65,5.00,8.34
2021-06-07,09:26:00,600642.SH,申能股份,卖出,6.094,-1400,-8531.46,5.00,8.53
2021-05-31,09:26:00,600641.SH,先导基电,卖出,15.485,-500,-7742.25,5.00,7.74
2021-05-24,09:47:00,600727.SH,鲁北化工,买入,7.708,1000,7707.70,5.00,0.00
2021-05-24,09:45:00,600642.SH,申能股份,买入,6.026,1400,8436.43,5.00,0.00
2021-05-18,09:46:00,600641.SH,先导基电,买入,14.905,500,7452.44,5.00,0.00
2021-01-25,11:25:00,600028.SH,中国石化,卖出,4.026,-1800,-7246.75,5.00,7.25
2021-01-14,09:53:00,600028.SH,中国石化,买入,4.264,1800,7675.67,5.00,0.00
2020-06-30,09:26:00,600566.SH,济川药业,卖出,24.525,-300,-7357.64,5.00,7.36
2020-06-23,09:26:00,601828.SH,美凯龙,卖出,10.689,-700,-7482.51,5.00,7.48
2020-06-22,11:16:00,600645.SH,中源协和,卖出,23.477,-300,-7042.95,5.00,7.04
2020-06-15,09:45:00,600566.SH,济川药业,买入,23.804,300,7141.13,5.00,0.00
2020-06-10,09:45:00,601828.SH,美凯龙,买入,10.911,700,7637.63,5.00,0.00
2020-06-08,09:49:00,600645.SH,中源协和,买入,21.121,300,6336.33,5.00,0.00
2020-01-03,09:26:00,601717.SH,中创智领,卖出,6.494,-1100,-7142.85,5.00,7.14
2019-12-20,09:45:00,601717.SH,中创智领,买入,6.476,1100,7124.12,5.00,0.00
2019-11-11,09:26:00,600926.SH,杭州银行,卖出,9.241,-900,-8316.68,5.00,8.32
2019-10-29,10:30:00,600926.SH,杭州银行,买入,9.029,900,8126.12,5.00,0.00
2019-10-11,09:26:00,002831.SZ,裕同科技,卖出,22.557,-300,-6767.23,5.00,6.77
2019-09-23,09:45:00,002831.SZ,裕同科技,买入,22.683,300,6804.80,5.00,0.00
2019-04-30,09:26:00,600036.SH,招商银行,卖出,34.535,-200,-6907.09,5.00,6.91
2019-04-17,10:07:00,600036.SH,招商银行,买入,36.236,200,7247.24,5.00,0.00


